AAPL,,,MSFT,,,NVDA,,,HD,,,COST,,,XOM,
Date,Close,,Date,Close,,Date,Close,,Date,Close,,Date,Close,,Date,Close
8/30/2024 16:00:00,229,,8/30/2024 16:00:00,417.14,,8/30/2024 16:00:00,119.37,,8/30/2024 16:00:00,368.5,,8/30/2024 16:00:00,892.38,,8/30/2024 16:00:00,117.94
9/6/2024 16:00:00,220.82,,9/6/2024 16:00:00,401.7,,9/6/2024 16:00:00,102.83,,9/6/2024 16:00:00,360.05,,9/6/2024 16:00:00,876.68,,9/6/2024 16:00:00,112.64
9/13/2024 16:00:00,222.5,,9/13/2024 16:00:00,430.59,,9/13/2024 16:00:00,119.1,,9/13/2024 16:00:00,379.99,,9/13/2024 16:00:00,916,,9/13/2024 16:00:00,111.15
9/20/2024 16:00:00,228.2,,9/20/2024 16:00:00,435.27,,9/20/2024 16:00:00,116,,9/20/2024 16:00:00,389.86,,9/20/2024 16:00:00,906.98,,9/20/2024 16:00:00,115.27
9/27/2024 16:00:00,227.79,,9/27/2024 16:00:00,428.02,,9/27/2024 16:00:00,121.4,,9/27/2024 16:00:00,399.53,,9/27/2024 16:00:00,885.62,,9/27/2024 16:00:00,115.82
10/4/2024 16:00:00,226.8,,10/4/2024 16:00:00,416.06,,10/4/2024 16:00:00,124.92,,10/4/2024 16:00:00,408.36,,10/4/2024 16:00:00,883.11,,10/4/2024 16:00:00,124.83
10/11/2024 16:00:00,227.55,,10/11/2024 16:00:00,416.32,,10/11/2024 16:00:00,134.8,,10/11/2024 16:00:00,411.9,,10/11/2024 16:00:00,889.03,,10/11/2024 16:00:00,123.61
10/18/2024 16:00:00,235,,10/18/2024 16:00:00,418.16,,10/18/2024 16:00:00,138,,10/18/2024 16:00:00,415,,10/18/2024 16:00:00,889.56,,10/18/2024 16:00:00,120.01
10/25/2024 16:00:00,231.41,,10/25/2024 16:00:00,428.15,,10/25/2024 16:00:00,141.54,,10/25/2024 16:00:00,398.91,,10/25/2024 16:00:00,891.22,,10/25/2024 16:00:00,119.49
11/1/2024 16:00:00,222.91,,11/1/2024 16:00:00,410.37,,11/1/2024 16:00:00,135.4,,11/1/2024 16:00:00,392.59,,11/1/2024 16:00:00,877.31,,11/1/2024 16:00:00,114.95
11/8/2024 16:00:00,226.96,,11/8/2024 16:00:00,422.54,,11/8/2024 16:00:00,147.63,,11/8/2024 16:00:00,405.9,,11/8/2024 16:00:00,943.8,,11/8/2024 16:00:00,121.11
11/15/2024 16:00:00,225,,11/15/2024 16:00:00,415,,11/15/2024 16:00:00,141.98,,11/15/2024 16:00:00,408.18,,11/15/2024 16:00:00,907.07,,11/15/2024 16:00:00,119.31
11/22/2024 16:00:00,229.87,,11/22/2024 16:00:00,417,,11/22/2024 16:00:00,141.95,,11/22/2024 16:00:00,420,,11/22/2024 16:00:00,964.01,,11/22/2024 16:00:00,121.79
11/29/2024 13:05:00,237.33,,11/29/2024 13:05:00,423.46,,11/29/2024 13:05:00,138.25,,11/29/2024 13:00:00,429.13,,11/29/2024 13:05:00,971.88,,11/29/2024 13:00:00,117.96
12/6/2024 16:00:00,242.84,,12/6/2024 16:00:00,443.57,,12/6/2024 16:00:00,142.44,,12/6/2024 16:00:00,431.37,,12/6/2024 16:00:00,992.61,,12/6/2024 16:00:00,113.57
12/13/2024 16:00:00,248.13,,12/13/2024 16:00:00,447.27,,12/13/2024 16:00:00,134.25,,12/13/2024 16:00:00,416.98,,12/13/2024 16:00:00,989.35,,12/13/2024 16:00:00,110.84
12/20/2024 16:00:00,254.49,,12/20/2024 16:00:00,436.6,,12/20/2024 16:00:00,134.7,,12/20/2024 16:00:00,392.6,,12/20/2024 16:00:00,954.07,,12/20/2024 16:00:00,105.87
12/27/2024 16:00:00,255.59,,12/27/2024 16:00:00,430.53,,12/27/2024 16:00:00,137.01,,12/27/2024 16:00:00,392.86,,12/27/2024 16:00:00,939.7,,12/27/2024 16:00:00,106.48
